g2 dynamics at tau=0, vacuum initial state, w=w_dip
t [ps]       g2 [1]      
4.441153     1.000570    
4.445685     1.000434    
4.450217     1.000433    
4.454749     1.000430    
4.459281     1.000429    
4.463812     1.000552    
4.468344     1.000430    
4.472876     1.000428    
4.477408     1.000425    
4.481939     1.000427    
4.486471     1.000585    
4.491003     1.000582    
4.495535     1.000599    
4.500067     1.000421    
4.504598     1.000422    
4.509130     1.000387    
4.513662     1.000421    
4.518194     1.000421    
4.522726     1.000593    
4.527257     1.000549    
4.531789     1.000418    
4.536321     1.000418    
4.540853     1.000284    
4.545385     1.000261    
4.549916     1.000515    
4.554448     1.000415    
4.558980     1.000258    
4.563512     1.000326    
4.568043     1.000411    
4.572575     1.000409    
4.577107     1.000408    
4.581639     1.000408    
4.586171     1.000409    
4.590702     1.000261    
4.595234     1.000275    
4.599766     1.000374    
4.604298     1.000405    
4.608830     1.000257    
4.613361     1.000402    
4.617893     1.000403    
4.622425     1.000541    
4.626957     1.000401    
4.631489     1.000401    
4.636020     1.000401    
4.640552     1.000400    
4.645084     1.000397    
4.649616     1.000466    
4.654147     1.000398    
4.658679     1.000397    
4.663211     1.000501    
4.667743     1.000394    
4.672275     1.000531    
4.676806     1.000392    
4.681338     1.000499    
4.685870     1.000392    
4.690402     1.000389    
4.694934     1.000525    
4.699465     1.000390    
4.703997     1.000387    
4.708529     1.000256    
4.713061     1.000385    
4.717593     1.000387    
4.722124     1.000250    
4.726656     1.000386    
4.731188     1.000469    
4.735720     1.000282    
4.740251     1.000382    
4.744783     1.000382    
4.749315     1.000285    
4.753847     1.000267    
4.758379     1.000380    
4.762910     1.000380    
4.767442     1.000379    
4.771974     1.000239    
4.776506     1.000444    
4.781038     1.000287    
4.785569     1.000378    
4.790101     1.000330    
4.794633     1.000262    
4.799165     1.000375    
4.803696     1.000494    
4.808228     1.000371    
4.812760     1.000488    
4.817292     1.000438    
4.821824     1.000372    
4.826355     1.000305    
4.830887     1.000283    
4.835419     1.000287    
4.839951     1.000367    
4.844483     1.000366    
4.849014     1.000494    
4.853546     1.000443    
4.858078     1.000231    
4.862610     1.000365    
4.867142     1.000449    
4.871673     1.000513    
4.876205     1.000362    
4.880737     1.000272    
4.885269     1.000257    
4.889800     1.000360    
4.894332     1.000429    
4.898864     1.000441    
4.903396     1.000357    
4.907928     1.000355    
4.912459     1.000420    
4.916991     1.000431    
4.921523     1.000353    
4.926055     1.000353    
4.930587     1.000252    
4.935118     1.000425    
4.939650     1.000351    
4.944182     1.000350    
4.948714     1.000456    
4.953246     1.000348    
4.957777     1.000446    
4.962309     1.000259    
4.966841     1.000347    
4.971373     1.000242    
4.975904     1.000276    
4.980436     1.000343    
4.984968     1.000442    
4.989500     1.000343    
4.994032     1.000284    
4.998563     1.000342    
5.003095     1.000342    
5.007627     1.000340    
5.012159     1.000338    
5.016691     1.000340    
5.021222     1.000267    
5.025754     1.000339    
5.030286     1.000336    
5.034818     1.000225    
5.039350     1.000336    
5.043881     1.000427    
5.048413     1.000275    
5.052945     1.000256    
5.057477     1.000335    
5.062008     1.000334    
5.066540     1.000380    
5.071072     1.000413    
5.075604     1.000416    
5.080136     1.000333    
5.084667     1.000331    
5.089199     1.000285    
5.093731     1.000417    
5.098263     1.000266    
5.102795     1.000272    
5.107326     1.000244    
5.111858     1.000242    
5.116390     1.000326    
5.120922     1.000324    
5.125454     1.000406    
5.129985     1.000221    
5.134517     1.000324    
5.139049     1.000263    
5.143581     1.000241    
5.148112     1.000246    
5.152644     1.000320    
5.157176     1.000320    
5.161708     1.000383    
5.166240     1.000394    
5.170771     1.000317    
5.175303     1.000318    
5.179835     1.000316    
5.184367     1.000264    
5.188899     1.000365    
5.193430     1.000314    
5.197962     1.000248    
5.202494     1.000217    
5.207026     1.000356    
5.211558     1.000312    
5.216089     1.000395    
5.220621     1.000228    
5.225153     1.000227    
5.229685     1.000406    
5.234216     1.000374    
5.238748     1.000308    
5.243280     1.000360    
5.247812     1.000305    
5.252344     1.000305    
5.256875     1.000220    
5.261407     1.000322    
5.265939     1.000235    
5.270471     1.000353    
5.275003     1.000302    
